timestamp,seq,latency_ms,jitter_ms,payload_size,lost_since_last,total_lost,loss_pct,processing_time_ms
1744373773.5575037,0,8.996248245239258,35.431623458862305,163,0,0,0.0,1.4889240264892578
1744373778.7203453,1,8.620023727416992,0.3762245178222656,164,0,0,0.0,1.4729499816894531
1744373780.2770784,2,8.318424224853516,0.30159950256347656,165,0,0,0.0,1.5096664428710938
1744373785.7655537,4,9.0789794921875,1009.0789794921875,161,0,0,0.0,1.949310302734375
1744373789.9087026,5,9.20248031616211,0.12350082397460938,164,0,0,0.0,1.5037059783935547
1744373791.5314093,6,8.54182243347168,0.6606578826904297,162,0,0,0.0,1.4786720275878906
1744373794.7865157,7,9.116172790527344,0.5743503570556641,164,0,0,0.0,1.7855167388916016
1744373796.1373315,8,8.621454238891602,0.4947185516357422,164,0,0,0.0,1.528024673461914
1744373799.70826,9,9.248971939086914,0.6275177001953125,162,0,0,0.0,1.6713142395019531
1744373802.16221,10,9.089231491088867,0.15974044799804688,164,0,0,0.0,1.6589164733886719
1744373811.434344,11,9.904146194458008,0.8149147033691406,165,0,0,0.0,1.6927719116210938
1744373814.8353674,12,9.672880172729492,0.23126602172851562,164,0,0,0.0,1.8830299377441406
1744373856.8320103,14,9.584188461303711,1009.5841884613037,164,0,0,0.0,1.5375614166259766
1744373859.292678,15,9.343385696411133,0.24080276489257812,164,0,0,0.0,1.8024444580078125
1744373860.849203,16,44.75903511047363,35.4156494140625,165,0,0,0.0,2.172231674194336
1744373862.797973,17,9.79757308959961,34.96146202087402,164,0,0,0.0,1.7046928405761719
1744373875.205195,18,8.638858795166016,1.1587142944335938,165,0,0,0.0,1.516103744506836
1744373876.1459503,19,8.854866027832031,0.21600723266601562,165,0,0,0.0,1.567840576171875
1744373888.4045968,20,11.034011840820312,2.1791458129882812,165,0,0,0.0,1.8055438995361328
1744373907.3583522,21,10.073661804199219,0.9603500366210938,164,0,0,0.0,1.4863014221191406
1744373919.273563,22,8.26716423034668,1.806497573852539,165,0,0,0.0,1.4998912811279297
